Department,JobRole,Attrition,MaritalStatus,EmployeeNumber,ï»¿Age,DailyRate,DistanceFromHome,Education,HourlyRate,JobInvolvement,JobLevel,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,IndiceDeBurnout,IndiceDeSatisfacaoGeral,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Gender_Male,JobRole_TargetEncoded,MaritalStatus_TargetEncoded,EducationField_TargetEncoded,IndiceDeBurnout^2,MonthlyIncome^2,MonthlyIncome_X_IndiceDeBurnout,YearsAtCompany_X_IndiceDeBurnout,MonthlyIncome_X_IndiceDeSatisfacaoGeral,YearsAtCompany_X_IndiceDeSatisfacaoGeral,IndiceDeBurnout_X_IndiceDeSatisfacaoGeral
Research & Development,Research Scientist,No,Divorced,16,31,670,26,1,31,3,1,15170,1,17,3,1,5,1,2,4,3,5,2.6666666666666665,False,True,True,0.16095890410958943,0.10091743119266336,0.14686468646864687,25.0,8473921.0,14555.0,25.0,7762.666666666666,13.333333333333332,13.333333333333332
Research & Development,Laboratory Technician,No,Divorced,18,34,1346,19,2,93,3,1,8758,0,11,3,1,3,2,2,1,2,3,3.0,False,True,True,0.23938223937897848,0.10091743119266336,0.13577586206896552,9.0,7080921.0,7983.0,6.0,7983.0,6.0,9.0
Research & Development,Laboratory Technician,Yes,Single,19,28,103,24,3,50,2,1,12947,5,14,3,0,6,4,2,0,3,5,2.6666666666666665,False,True,True,0.23938223937897848,0.2553191489361702,0.14686468646864687,25.0,4112784.0,10140.0,20.0,5408.0,10.666666666666666,13.333333333333332
Research & Development,Manufacturing Director,No,Divorced,20,29,1389,21,4,51,4,3,10195,1,11,3,1,10,1,9,8,8,6,2.0,False,True,False,0.06896586105729074,0.10091743119266336,0.14686468646864687,36.0,99600400.0,59880.0,60.0,19960.0,20.0,12.0
Research & Development,Research Scientist,No,Divorced,21,32,334,5,2,80,4,1,15053,0,12,3,2,7,5,2,0,5,7,2.3333333333333335,False,True,True,0.16095890410958943,0.10091743119266336,0.14686468646864687,49.0,10876804.0,23086.0,42.0,7695.333333333334,14.0,16.333333333333336
Research & Development,Laboratory Technician,No,Divorced,22,22,1123,16,2,96,4,1,7324,1,13,3,2,1,2,0,0,0,5,3.3333333333333335,False,False,True,0.23938223937897848,0.10091743119266336,0.13577586206896552,25.0,8614225.0,14675.0,5.0,9783.333333333334,3.3333333333333335,16.666666666666668
Sales,Manager,No,Married,23,53,1219,2,4,78,2,4,22021,2,16,3,0,31,3,8,3,7,3,2.6666666666666665,False,True,False,0.04905041685272943,0.12481426448736999,0.14686468646864687,9.0,237992329.0,46281.0,75.0,41138.666666666664,66.66666666666666,8.0
Research & Development,Research Scientist,No,Single,24,38,371,2,3,45,3,1,4306,5,11,3,0,6,3,2,1,2,4,3.6666666666666665,False,True,True,0.16095890410958943,0.2553191489361702,0.14686468646864687,16.0,15555136.0,15776.0,12.0,14461.333333333332,11.0,14.666666666666666
Research & Development,Manufacturing Director,No,Divorced,26,24,673,11,2,96,4,2,8232,0,18,3,1,5,5,2,1,3,5,2.6666666666666665,False,False,False,0.06896586105729074,0.10091743119266336,0.13420118338933018,25.0,16088121.0,20055.0,20.0,10696.0,10.666666666666666,13.333333333333332
Sales,Sales Representative,Yes,Single,27,36,1218,9,4,82,2,1,6986,7,23,4,0,10,4,3,0,3,6,2.0,False,True,True,0.3971571172349599,0.2553191489361702,0.14686468646864687,36.0,11607649.0,20442.0,30.0,6814.0,10.0,12.0
Research & Development,Research Director,No,Single,28,34,419,7,4,53,3,3,21293,0,11,3,0,13,4,6,2,11,5,2.0,False,True,False,0.02533683182797013,0.2553191489361702,0.14686468646864687,25.0,143856036.0,59970.0,60.0,23988.0,24.0,10.0
Research & Development,Research Scientist,No,Single,30,21,391,15,2,96,3,1,19281,1,14,3,0,0,6,0,0,0,3,3.6666666666666665,False,True,True,0.16095890410958943,0.2553191489361702,0.14686468646864687,9.0,1517824.0,3696.0,0.0,4517.333333333333,0.0,11.0
Research & Development,Research Scientist,Yes,Single,31,34,699,6,1,83,3,1,17102,2,11,3,0,8,2,2,1,3,6,2.0,False,True,True,0.16095890410958943,0.2553191489361702,0.13577586206896552,36.0,8761600.0,17760.0,24.0,5920.0,8.0,12.0
Research & Development,Manager,No,Divorced,32,53,1282,5,3,58,3,5,10735,4,11,3,1,26,3,13,4,8,5,3.3333333333333335,False,True,False,0.04905041685272943,0.10091743119266336,0.13420118338933018,25.0,364580836.0,95470.0,70.0,63646.66666666667,46.66666666666667,16.666666666666668
Research & Development,Research Scientist,Yes,Single,33,32,1125,16,1,72,1,1,4681,1,22,4,0,10,5,2,6,7,7,1.6666666666666667,True,False,False,0.16095890410958943,0.2553191489361702,0.14686468646864687,49.0,15358561.0,27433.0,70.0,6531.666666666667,16.666666666666668,11.666666666666668
Sales,Sales Executive,No,Married,35,42,691,8,4,48,3,2,21173,0,11,3,1,10,2,7,4,2,5,3.0,False,True,True,0.17484662576687046,0.12481426448736999,0.22012573203437844,25.0,46580625.0,34125.0,45.0,20475.0,27.0,15.0
Research & Development,Healthcare Representative,No,Married,36,44,477,7,4,42,2,3,2094,3,14,3,1,24,4,6,5,17,3,3.0,False,True,False,0.06870368828064846,0.12481426448736999,0.13577586206896552,9.0,105021504.0,30744.0,66.0,30744.0,66.0,9.0
Sales,Manager,No,Single,38,46,705,2,4,83,3,5,22822,3,12,3,0,22,2,2,2,1,7,2.3333333333333335,False,True,False,0.04905041685272943,0.2553191489361702,0.22012573203437844,49.0,358988809.0,132629.0,14.0,44209.66666666667,4.666666666666667,16.333333333333336
Research & Development,Laboratory Technician,No,Single,39,33,924,2,3,78,3,1,6670,4,11,3,0,7,3,1,0,0,3,3.6666666666666665,False,True,True,0.23938223937897848,0.2553191489361702,0.13577586206896552,9.0,6230016.0,7488.0,3.0,9152.0,3.6666666666666665,11.0
Research & Development,Healthcare Representative,No,Married,40,44,1459,10,4,41,3,2,19121,2,13,3,0,9,5,2,1,3,3,4.0,False,True,True,0.06870368828064846,0.12481426448736999,0.13420118338933018,9.0,41796225.0,19395.0,12.0,25860.0,16.0,12.0
Research & Development,Laboratory Technician,No,Single,41,30,125,9,2,83,2,1,16117,1,13,3,0,10,5,0,1,8,4,2.6666666666666665,False,True,True,0.23938223937897848,0.2553191489361702,0.13577586206896552,16.0,4866436.0,8824.0,40.0,5882.666666666666,26.666666666666664,10.666666666666666
Sales,Sales Representative,Yes,Married,42,39,895,5,3,56,3,2,3335,3,14,3,1,19,6,0,0,0,2,3.6666666666666665,False,True,True,0.3971571172349599,0.12481426448736999,0.24242313209808733,4.0,4351396.0,4172.0,2.0,7648.666666666666,3.6666666666666665,7.333333333333333
Research & Development,Research Scientist,Yes,Married,45,24,813,1,3,61,3,1,3020,2,16,3,1,6,2,0,2,0,5,2.3333333333333335,False,True,True,0.16095890410958943,0.12481426448736999,0.13577586206896552,25.0,5257849.0,11465.0,10.0,5350.333333333334,4.666666666666667,11.666666666666668
Research & Development,Research Scientist,No,Divorced,46,43,1273,2,2,72,4,1,21923,1,12,3,2,6,3,3,1,4,5,3.6666666666666665,False,True,False,0.16095890410958943,0.10091743119266336,0.13577586206896552,25.0,6996025.0,13225.0,25.0,9698.333333333332,18.333333333333332,18.333333333333332
Sales,Sales Representative,Yes,Married,47,50,869,3,2,86,2,1,3810,1,14,3,0,3,2,2,0,2,5,2.3333333333333335,False,True,True,0.3971571172349599,0.12481426448736999,0.22012573203437844,25.0,7198489.0,13415.0,15.0,6260.333333333334,7.0,11.666666666666668
Sales,Sales Representative,No,Married,49,35,890,2,3,97,3,1,9687,1,13,3,0,2,3,2,2,2,3,3.0,False,True,False,0.3971571172349599,0.12481426448736999,0.22012573203437844,9.0,4056196.0,6042.0,6.0,6042.0,6.0,9.0
Research & Development,Research Scientist,No,Married,51,36,852,5,4,82,2,1,13072,9,14,3,1,6,3,1,0,0,6,2.3333333333333335,False,True,False,0.16095890410958943,0.12481426448736999,0.14686468646864687,36.0,11689561.0,20514.0,6.0,7977.666666666667,2.3333333333333335,14.0
Sales,Sales Executive,No,Married,52,33,1141,1,3,42,4,2,3193,2,19,3,2,10,3,3,1,3,6,1.6666666666666667,True,False,False,0.17484662576687046,0.12481426448736999,0.14686468646864687,36.0,28901376.0,32256.0,30.0,8960.0,8.333333333333334,10.0
Research & Development,Laboratory Technician,No,Divorced,53,35,464,4,2,75,3,1,10910,1,12,3,1,1,3,0,0,0,3,3.3333333333333335,False,True,True,0.23938223937897848,0.10091743119266336,0.13420118338933018,9.0,3806401.0,5853.0,3.0,6503.333333333334,3.3333333333333335,10.0
Research & Development,Laboratory Technician,No,Divorced,54,27,1240,2,4,33,3,1,19715,1,13,3,1,1,6,0,0,0,6,3.0,False,True,False,0.23938223937897848,0.10091743119266336,0.14686468646864687,36.0,5480281.0,14046.0,6.0,7023.0,3.0,18.0
Research & Development,Laboratory Technician,Yes,Single,55,26,1357,25,3,48,1,1,10558,1,12,3,0,1,2,0,0,1,5,2.3333333333333335,False,True,True,0.23938223937897848,0.2553191489361702,0.14686468646864687,25.0,5257849.0,11465.0,5.0,5350.333333333334,2.3333333333333335,11.666666666666668
Sales,Sales Executive,No,Single,56,27,994,8,3,37,3,3,2975,1,15,3,0,9,0,8,1,7,4,3.6666666666666665,True,False,True,0.17484662576687046,0.2553191489361702,0.14686468646864687,16.0,76143076.0,34904.0,36.0,31995.333333333332,33.0,14.666666666666666
Research & Development,Laboratory Technician,No,Single,57,30,721,1,2,58,3,2,10781,1,23,4,0,12,2,8,3,7,3,3.6666666666666665,True,False,False,0.23938223937897848,0.2553191489361702,0.13577586206896552,9.0,16088121.0,12033.0,36.0,14707.0,44.0,11.0
Research & Development,Research Director,Yes,Married,58,41,1360,12,3,49,3,5,16280,1,12,3,0,23,0,15,15,8,4,3.0,False,True,False,0.02533683182797013,0.12481426448736999,0.24242313209808733,16.0,382007025.0,78180.0,88.0,58635.0,66.0,12.0
Sales,Sales Executive,No,Single,60,34,1065,23,4,72,3,2,10034,0,20,4,0,10,2,5,8,7,4,2.6666666666666665,False,False,True,0.17484662576687046,0.2553191489361702,0.22012573203437844,16.0,20866624.0,18272.0,36.0,12181.333333333332,24.0,10.666666666666666
Research & Development,Research Scientist,No,Married,61,37,408,19,2,73,3,1,10227,4,21,4,0,8,1,0,0,0,5,1.6666666666666667,False,True,True,0.16095890410958943,0.12481426448736999,0.14686468646864687,25.0,9132484.0,15110.0,5.0,5036.666666666667,1.6666666666666667,8.333333333333334
Sales,Sales Executive,No,Single,62,46,1211,5,4,98,3,2,20445,4,21,4,0,14,4,6,0,8,4,2.6666666666666665,True,False,True,0.17484662576687046,0.2553191489361702,0.22012573203437844,16.0,33315984.0,23088.0,36.0,15392.0,24.0,10.666666666666666
Research & Development,Laboratory Technician,No,Married,63,35,1229,8,1,36,4,1,4892,1,19,3,0,1,2,0,0,1,3,4.0,False,True,True,0.23938223937897848,0.12481426448736999,0.14686468646864687,9.0,5148361.0,6807.0,3.0,9076.0,4.0,12.0
Research & Development,Laboratory Technician,Yes,Single,64,48,626,1,2,98,2,3,19294,9,13,3,0,23,2,0,0,0,5,2.6666666666666665,False,True,True,0.23938223937897848,0.2553191489361702,0.14686468646864687,25.0,28955161.0,26905.0,5.0,14349.333333333332,2.6666666666666665,13.333333333333332
Research & Development,Laboratory Technician,Yes,Single,65,28,1434,5,4,50,3,1,11179,1,13,3,0,2,3,2,2,2,6,3.0,False,True,True,0.23938223937897848,0.2553191489361702,0.24242313209808733,36.0,11840481.0,20646.0,12.0,10323.0,6.0,18.0
Sales,Sales Executive,No,Divorced,68,44,1488,1,5,75,3,2,4009,5,21,4,1,9,2,3,1,3,8,2.0,False,True,False,0.17484662576687046,0.10091743119266336,0.22012573203437844,64.0,29746116.0,43632.0,32.0,10908.0,8.0,16.0
Research & Development,Healthcare Representative,No,Married,70,35,1097,11,2,79,2,3,8302,2,13,3,1,10,3,0,2,3,7,2.3333333333333335,False,False,True,0.06870368828064846,0.12481426448736999,0.13577586206896552,49.0,97693456.0,69188.0,28.0,23062.666666666668,9.333333333333334,16.333333333333336
Sales,Sales Executive,No,Married,72,26,1443,23,3,47,2,2,21436,7,19,3,1,5,2,2,0,0,5,3.3333333333333335,False,True,False,0.17484662576687046,0.12481426448736999,0.22012573203437844,25.0,17280649.0,20785.0,10.0,13856.666666666668,6.666666666666667,16.666666666666668
Research & Development,Research Director,No,Single,73,33,515,1,2,98,3,3,15146,1,12,3,0,15,1,14,8,12,4,2.6666666666666665,True,False,False,0.02533683182797013,0.2553191489361702,0.14686468646864687,16.0,181117764.0,53832.0,60.0,35888.0,40.0,10.666666666666666
Sales,Sales Executive,No,Married,74,35,853,18,5,71,3,3,11031,1,22,4,1,9,3,8,1,8,7,2.3333333333333335,True,False,True,0.17484662576687046,0.12481426448736999,0.14686468646864687,49.0,82246761.0,63483.0,63.0,21161.0,21.0,16.333333333333336
Research & Development,Laboratory Technician,No,Married,75,35,1142,23,4,30,3,1,16002,3,15,3,1,4,3,2,2,2,7,2.3333333333333335,False,True,False,0.23938223937897848,0.12481426448736999,0.13577586206896552,49.0,16112196.0,28098.0,14.0,9366.0,4.666666666666667,16.333333333333336
Research & Development,Laboratory Technician,No,Divorced,76,31,655,7,4,48,3,2,9528,3,22,4,1,10,3,7,1,7,4,4.0,False,True,True,0.23938223937897848,0.10091743119266336,0.14686468646864687,16.0,34987225.0,23660.0,28.0,23660.0,28.0,16.0
Research & Development,Manufacturing Director,No,Divorced,77,37,1115,1,4,51,2,2,2689,1,18,3,1,7,2,5,0,7,3,2.3333333333333335,False,True,True,0.06896586105729074,0.10091743119266336,0.14686468646864687,9.0,35916049.0,17979.0,21.0,13983.666666666668,16.333333333333336,7.0
Research & Development,Manufacturing Director,No,Married,78,32,427,1,3,33,3,2,10877,1,22,4,1,9,3,8,7,8,4,2.3333333333333335,False,True,True,0.06896586105729074,0.12481426448736999,0.13577586206896552,16.0,37970244.0,24648.0,36.0,14378.000000000002,21.0,9.333333333333334
Research & Development,Laboratory Technician,No,Single,79,38,653,29,5,50,3,2,5456,1,11,3,0,10,2,3,9,9,3,4.0,True,False,False,0.23938223937897848,0.2553191489361702,0.14686468646864687,9.0,5788836.0,7218.0,30.0,9624.0,40.0,12.0
Research & Development,Research Director,No,Divorced,80,50,989,7,2,43,2,5,16701,5,12,3,1,29,2,3,13,8,6,3.0,False,True,False,0.02533683182797013,0.10091743119266336,0.13577586206896552,36.0,351187600.0,112440.0,162.0,56220.0,81.0,18.0
Sales,Sales Executive,No,Single,81,59,1435,25,3,99,3,3,2354,7,11,3,0,28,3,16,7,9,7,2.0,False,True,False,0.17484662576687046,0.2553191489361702,0.14686468646864687,49.0,58323769.0,53459.0,147.0,15274.0,42.0,14.0
Research & Development,Healthcare Representative,No,Divorced,83,36,1223,8,3,59,3,3,8202,1,13,3,3,17,2,14,12,8,4,2.6666666666666665,False,True,False,0.06870368828064846,0.10091743119266336,0.24242313209808733,16.0,101929216.0,40384.0,68.0,26922.666666666664,45.33333333333333,10.666666666666666
Research & Development,Manager,No,Divorced,84,55,836,8,3,33,3,4,19730,2,14,3,3,21,2,0,0,2,5,3.3333333333333335,False,True,False,0.04905041685272943,0.10091743119266336,0.13577586206896552,25.0,217739536.0,73780.0,25.0,49186.66666666667,16.666666666666668,16.666666666666668
Research & Development,Manufacturing Director,No,Single,85,36,1195,11,3,95,2,2,22656,1,13,3,0,6,3,5,0,3,5,2.3333333333333335,True,False,True,0.06896586105729074,0.2553191489361702,0.14686468646864687,25.0,42237001.0,32495.0,30.0,15164.333333333334,14.0,11.666666666666668
Research & Development,Research Scientist,No,Divorced,86,45,1339,7,3,59,3,3,18787,2,17,3,1,25,2,0,0,0,6,2.0,False,True,True,0.16095890410958943,0.10091743119266336,0.14686468646864687,36.0,94556176.0,58344.0,6.0,19448.0,2.0,12.0
Research & Development,Research Scientist,No,Married,88,35,664,1,3,79,3,1,5868,4,13,3,1,5,2,2,1,2,7,2.3333333333333335,True,False,True,0.16095890410958943,0.12481426448736999,0.13577586206896552,49.0,4813636.0,15358.0,21.0,5119.333333333334,7.0,16.333333333333336
Research & Development,Research Scientist,Yes,Married,90,36,318,9,3,79,2,1,21777,0,17,3,1,2,0,0,0,0,6,2.6666666666666665,False,True,True,0.16095890410958943,0.12481426448736999,0.13577586206896552,36.0,11478544.0,20328.0,6.0,9034.666666666666,2.6666666666666665,16.0
Sales,Sales Executive,No,Single,91,59,1225,1,1,57,2,2,24668,7,11,3,0,20,2,3,1,3,5,2.6666666666666665,True,False,False,0.17484662576687046,0.2553191489361702,0.14686468646864687,25.0,29953729.0,27365.0,20.0,14594.666666666666,10.666666666666666,13.333333333333332
Research & Development,Research Scientist,No,Married,94,29,1328,2,3,76,3,1,4956,0,23,4,1,6,3,4,0,4,5,3.0,False,True,True,0.16095890410958943,0.12481426448736999,0.14686468646864687,25.0,7306209.0,13515.0,25.0,8109.0,15.0,15.0
Research & Development,Research Scientist,No,Single,95,31,1082,1,4,87,3,1,18775,1,17,3,0,1,4,1,1,0,5,2.3333333333333335,False,True,True,0.16095890410958943,0.2553191489361702,0.13577586206896552,25.0,6255001.0,12505.0,5.0,5835.666666666667,2.3333333333333335,11.666666666666668
Research & Development,Research Scientist,No,Married,96,32,548,1,3,66,3,2,7346,1,17,3,2,10,3,4,0,9,5,2.0,False,True,True,0.16095890410958943,0.12481426448736999,0.14686468646864687,25.0,38688400.0,31100.0,50.0,12440.0,20.0,10.0
Research & Development,Laboratory Technician,No,Married,97,36,132,6,3,55,4,1,22002,3,12,3,0,5,3,0,0,0,3,2.6666666666666665,False,True,False,0.23938223937897848,0.12481426448736999,0.14686468646864687,9.0,9229444.0,9114.0,3.0,8101.333333333333,2.6666666666666665,8.0
Research & Development,Manufacturing Director,No,Single,98,31,746,8,4,61,3,2,20682,1,23,4,0,11,2,7,1,8,3,3.6666666666666665,False,True,False,0.06896586105729074,0.2553191489361702,0.14686468646864687,9.0,19571776.0,13272.0,33.0,16221.333333333332,40.33333333333333,11.0
Sales,Sales Executive,No,Single,100,35,776,1,4,32,2,2,23016,0,14,3,0,16,2,13,2,8,6,2.0,False,True,True,0.17484662576687046,0.2553191489361702,0.22012573203437844,36.0,18593344.0,25872.0,90.0,8624.0,30.0,12.0
Research & Development,Research Director,No,Married,101,45,193,6,4,52,3,3,15067,4,14,3,0,17,3,0,0,0,6,2.3333333333333335,False,True,True,0.02533683182797013,0.12481426448736999,0.13420118338933018,36.0,175430025.0,79470.0,0.0,30905.000000000004,0.0,14.0
Research & Development,Research Director,No,Single,102,37,397,7,4,30,3,3,25258,4,13,3,0,16,3,2,0,2,3,1.6666666666666667,False,True,True,0.02533683182797013,0.2553191489361702,0.13577586206896552,9.0,186704896.0,40992.0,15.0,22773.333333333336,8.333333333333334,5.0
Human Resources,Human Resources,No,Divorced,103,46,945,5,2,80,3,2,10425,8,22,4,1,16,2,2,0,2,6,2.6666666666666665,False,True,True,0.22804546072229726,0.10091743119266336,0.13577586206896552,36.0,25210441.0,30126.0,24.0,13389.333333333332,10.666666666666666,16.0
Research & Development,Laboratory Technician,No,Married,104,30,852,1,1,55,2,2,15998,1,12,3,2,10,1,8,3,0,5,3.6666666666666665,False,True,True,0.23938223937897848,0.12481426448736999,0.14686468646864687,25.0,26275876.0,25630.0,50.0,18795.333333333332,36.666666666666664,18.333333333333332
Research & Development,Research Scientist,No,Single,105,35,1214,1,3,30,2,1,26278,1,18,3,0,6,3,4,0,4,4,2.0,False,True,True,0.16095890410958943,0.2553191489361702,0.13577586206896552,16.0,8173881.0,11436.0,24.0,5718.0,12.0,8.0
Sales,Sales Executive,No,Married,106,55,111,1,2,70,3,3,18092,3,14,3,1,24,4,0,1,0,3,3.0,False,True,True,0.17484662576687046,0.12481426448736999,0.14686468646864687,9.0,104837121.0,30717.0,3.0,30717.0,3.0,9.0
Research & Development,Research Scientist,No,Divorced,107,38,573,6,3,79,1,2,15717,7,12,3,3,17,3,11,1,9,4,3.3333333333333335,False,False,False,0.16095890410958943,0.10091743119266336,0.13577586206896552,16.0,28398241.0,21316.0,52.0,17763.333333333336,43.333333333333336,13.333333333333334
Research & Development,Manufacturing Director,No,Married,110,34,1153,1,2,94,3,2,17736,1,15,3,0,5,2,2,1,3,5,2.0,False,True,True,0.06896586105729074,0.12481426448736999,0.13577586206896552,25.0,18705625.0,21625.0,25.0,8650.0,10.0,10.0
Research & Development,Manufacturing Director,No,Single,112,56,1400,7,3,49,1,3,21698,4,11,3,0,37,3,4,0,2,4,3.0,False,True,True,0.06896586105729074,0.2553191489361702,0.14686468646864687,16.0,52707600.0,29040.0,24.0,21780.0,18.0,12.0
Sales,Sales Representative,No,Divorced,113,23,541,2,1,62,3,1,9518,3,13,3,1,3,3,0,0,0,6,2.3333333333333335,False,True,True,0.3971571172349599,0.10091743119266336,0.24242313209808733,36.0,5391684.0,13932.0,0.0,5418.0,0.0,14.0
Research & Development,Laboratory Technician,No,Married,116,51,432,9,4,96,3,1,18725,3,23,4,2,10,4,2,0,3,3,3.3333333333333335,False,True,True,0.23938223937897848,0.12481426448736999,0.14686468646864687,9.0,4305625.0,6225.0,12.0,6916.666666666667,13.333333333333334,10.0
Research & Development,Healthcare Representative,No,Married,117,30,288,2,3,99,2,2,15830,1,19,3,3,11,3,10,10,8,3,2.6666666666666665,False,True,True,0.06870368828064846,0.12481426448736999,0.14686468646864687,9.0,17239104.0,12456.0,33.0,11072.0,29.333333333333332,8.0
Sales,Sales Executive,Yes,Single,118,46,669,9,2,64,2,3,13596,1,16,3,0,9,3,8,4,7,3,3.6666666666666665,False,True,True,0.17484662576687046,0.2553191489361702,0.13577586206896552,9.0,92525161.0,28857.0,27.0,35269.666666666664,33.0,11.0
Research & Development,Healthcare Representative,No,Married,119,40,530,1,4,78,2,4,14115,1,22,4,1,22,3,3,11,11,6,3.0,True,False,True,0.06870368828064846,0.12481426448736999,0.14686468646864687,36.0,182331009.0,81018.0,132.0,40509.0,66.0,18.0
Sales,Sales Executive,No,Single,120,51,632,21,4,71,3,2,8423,0,22,4,0,11,2,7,1,0,6,3.6666666666666665,False,True,True,0.17484662576687046,0.2553191489361702,0.22012573203437844,36.0,29604481.0,32646.0,60.0,19950.333333333332,36.666666666666664,22.0
Sales,Sales Executive,No,Divorced,121,30,1334,4,2,63,2,2,19760,1,12,3,3,11,4,8,2,7,7,2.3333333333333335,False,True,False,0.17484662576687046,0.10091743119266336,0.13577586206896552,49.0,27133681.0,36463.0,77.0,12154.333333333334,25.666666666666668,16.333333333333336
Research & Development,Healthcare Representative,No,Married,124,46,638,1,3,40,2,3,3142,2,13,3,1,21,5,9,9,5,8,2.3333333333333335,True,False,True,0.06870368828064846,0.12481426448736999,0.13577586206896552,64.0,113912929.0,85384.0,80.0,24903.666666666668,23.333333333333336,18.666666666666668
Sales,Sales Executive,No,Single,125,32,1093,6,4,87,3,2,24301,1,16,3,0,12,0,8,5,7,4,2.0,False,True,True,0.17484662576687046,0.2553191489361702,0.13577586206896552,16.0,25100100.0,20040.0,44.0,10020.0,22.0,8.0
Research & Development,Research Director,No,Married,126,54,1217,2,4,60,3,3,24001,9,12,3,1,16,5,3,0,3,6,1.6666666666666667,False,True,False,0.02533683182797013,0.12481426448736999,0.24242313209808733,36.0,183575401.0,81294.0,24.0,22581.666666666668,6.666666666666667,10.0
